15:29:59,598	-0.000969	22712.09
15:29:59,598	-0.000528	22711.97
15:29:59,598	-0.000220	22711.92
15:29:59,607	-0.000264	22711.86
15:29:59,610	0.000000	22711.86
15:29:59,612	0.000000	22711.86
15:29:59,613	0.000000	22711.86
15:29:59,742	0.011580	22714.49
15:29:59,743	0.000000	22714.49
15:29:59,812	-0.010258	22712.16
15:29:59,812	-0.001365	22711.85
15:29:59,812	-0.001717	22711.46
15:29:59,828	0.006649	22712.97
15:29:59,836	-0.001717	22712.58
15:29:59,843	-0.004931	22711.46
15:29:59,843	-0.000837	22711.27
15:29:59,843	-0.001981	22710.82
15:29:59,843	-0.000044	22710.81
15:29:59,843	-0.003831	22709.94
15:29:59,843	-0.000969	22709.72
15:29:59,843	-0.002862	22709.07
15:29:59,843	-0.000044	22709.06
15:29:59,843	-0.000132	22709.03
15:29:59,843	-0.000440	22708.93
15:29:59,843	0.000000	22708.93
15:29:59,843	-0.000044	22708.92
15:29:59,843	-0.005637	22707.64
15:29:59,843	-0.000264	22707.58
15:29:59,843	-0.000044	22707.57
15:29:59,843	-0.000308	22707.5
15:29:59,843	-0.000969	22707.28
15:29:59,843	-0.000044	22707.27
15:29:59,843	-0.000088	22707.25
15:29:59,843	0.000000	22707.25
15:29:59,843	-0.001673	22706.87
15:29:59,868	0.003435	22707.65
15:29:59,888	0.009380	22709.78
15:29:59,889	0.006209	22711.19
15:29:59,891	-0.006208	22709.78
15:29:59,891	-0.006957	22708.2
15:29:59,891	-0.000925	22707.99
15:29:59,891	-0.002070	22707.52
15:29:59,891	0.000000	22707.52
15:29:59,891	-0.000044	22707.51
15:29:59,904	-0.002026	22707.05
15:29:59,905	0.022328	22712.12
15:29:59,907	-0.010259	22709.79
15:29:59,911	0.010260	22712.12
15:29:59,912	0.000000	22712.12
15:29:59,915	-0.010259	22709.79
15:29:59,915	0.010260	22712.12
15:29:59,919	-0.010215	22709.8
15:29:59,921	0.010216	22712.12
15:29:59,921	0.001409	22712.44
15:29:59,921	0.000000	22712.44
15:29:59,921	0.000396	22712.53
15:29:59,921	0.000176	22712.57
15:29:59,921	0.004931	22713.69
15:29:59,921	0.000132	22713.72
15:29:59,921	0.002201	22714.22
15:29:59,921	0.000396	22714.31
15:29:59,921	-0.019855	22709.8
15:29:59,921	0.020652	22714.49
15:29:59,931	0.000000	22714.49
15:29:59,934	-0.001233	22714.21
15:29:59,936	0.001233	22714.49
15:29:59,936	0.000000	22714.49
15:29:59,937	0.000000	22714.49
15:29:59,937	0.000000	22714.49
15:29:59,939	0.000000	22714.49
15:29:59,944	-0.001233	22714.21
15:29:59,945	-0.009201	22712.12
15:29:59,945	0.010435	22714.49
15:29:59,946	-0.010434	22712.12
15:29:59,954	0.010391	22714.48
15:29:59,954	0.000000	22714.48
15:29:59,955	-0.010390	22712.12
15:29:59,955	0.000000	22712.12
15:29:59,957	0.006869	22713.68
15:29:59,961	0.000000	22713.68
15:29:59,961	-0.006824	22712.13
15:29:59,961	-0.000044	22712.12
15:29:59,961	-0.000881	22711.92
15:29:59,961	0.010127	22714.22
15:29:59,961	0.001145	22714.48
15:29:59,962	-0.020163	22709.9
15:29:59,962	-0.000440	22709.8
15:29:59,963	0.000000	22709.8
15:29:59,964	0.010260	22712.13
15:29:59,964	0.010391	22714.49
15:29:59,965	-0.010390	22712.13
15:29:59,966	0.000000	22712.13
15:29:59,966	-0.010259	22709.8
15:29:59,966	0.000000	22709.8
15:29:59,967	0.020652	22714.49
15:29:59,970	-0.010390	22712.13
15:29:59,970	0.010303	22714.47
15:29:59,970	-0.010302	22712.13
