PAIR;15m;%;1d;%;1h;%;1m;%;2h;%;30m;%;3m;%;5m;%
ADAUSDT;14.9;0.00290;102.1;0.00290;100.3;0.00290;1.5;0.00290;100.3;0.00290;13.3;0.00290;0.1;0.00290;0.1;0.00290
AVAXUSDT;0.1;0.00290;136.9;0.00290;45.7;0.00290;0.0;0.00290;59.0;0.00290;0.2;0.00290;0.0;0.00290;0.0;0.00290
BNBUSDT;55.5;0.00290;97.5;0.00290;186.2;0.00290;1.1;0.00290;76.1;0.00290;24.3;0.00290;1.1;0.00290;1.3;0.00290
BTCUSDT;843.0;0.00290;114.1;0.00290;1380.6;0.00290;58.0;0.00290;342.7;0.00290;391.0;0.00290;32.1;0.00290;39.6;0.00290
DOGEUSDT;60.1;0.00290;115.9;0.00290;406.9;0.00290;0.1;0.00290;247.1;0.00290;16.9;0.00290;0.0;0.00290;0.4;0.00290
ETHUSDT;539.6;0.00290;89.6;0.00290;648.8;0.00290;28.8;0.00290;260.2;0.00290;147.2;0.00290;4.5;0.00290;6.3;0.00290
FILUSDT;8.7;0.00290;33.7;0.00290;106.0;0.00290;0.0;0.00290;88.2;0.00290;20.8;0.00290;0.0;0.00290;0.0;0.00290
