PAIR;15m;%;1d;%;1h;%;1m;%;2h;%;30m;%;3m;%;5m;%
ADAUSDT;0.2;0.00060;96.5;0.00060;25.5;0.00060;0.0;0.00060;35.6;0.00060;2.6;0.00060;0.0;0.00060;0.0;0.00060
BNBUSDT;0.4;0.00060;93.7;0.00060;35.4;0.00060;0.0;0.00060;42.3;0.00060;5.6;0.00060;0.0;0.00060;0.0;0.00060
BTCUSDT;27.9;0.00060;84.6;0.00060;183.0;0.00060;0.0;0.00060;113.5;0.00060;60.1;0.00060;0.0;0.00060;0.0;0.00060
DOGEUSDT;100.0;0.00060;100.0;0.00060;101.4;0.00060;100.0;0.00060;100.0;0.00060;100.0;0.00060;100.0;0.00060;100.0;0.00060
ETHUSDT;1.4;0.00060;76.7;0.00060;53.6;0.00060;0.0;0.00060;57.7;0.00060;4.9;0.00060;0.0;0.00060;0.0;0.00060
FILUSDT;100.0;0.00060;100.0;0.00060;101.4;0.00060;100.0;0.00060;100.0;0.00060;100.0;0.00060;100.0;0.00060;100.0;0.00060
SOLUSDT;0.0;0.00060;83.6;0.00060;34.0;0.00060;0.0;0.00060;60.2;0.00060;0.5;0.00060;0.0;0.00060;0.0;0.00060
UNFIUSDT;100.0;0.00060;100.0;0.00060;101.4;0.00060;100.0;0.00060;100.0;0.00060;100.0;0.00060;100.0;0.00060;100.0;0.00060
XRPUSDT;0.0;0.00060;87.0;0.00060;16.5;0.00060;0.0;0.00060;35.8;0.00060;0.7;0.00060;0.0;0.00060;0.0;0.00060
