1630715400000,79.37000000,80.32000000,79.32000000,80.31000000,97142.03600000,1630715699999,7753919.56702900,17239,55938.00510000,4464648.62952100,0
1630715700000,80.31000000,81.41000000,80.21000000,81.28000000,80666.15070000,1630715999999,6521913.67185500,21630,49712.70220000,4019892.98877900,0
1630716000000,81.28000000,81.66000000,81.22000000,81.33000000,58683.20980000,1630716299999,4780814.57838700,9095,28937.82440000,2357604.87468700,0
1630716300000,81.33000000,81.97000000,80.81000000,81.96000000,42384.26770000,1630716599999,3450284.69156400,7278,24588.89770000,2003237.66256400,0
1630716600000,81.95000000,82.32000000,81.38000000,82.23000000,51576.37750000,1630716899999,4223856.53635400,7990,26980.93750000,2210727.16825400,0
1630716900000,82.23000000,82.27000000,81.56000000,81.63000000,30097.02000000,1630717199999,2467630.40600000,4918,13463.64000000,1104375.35120000,0
1630717200000,81.63000000,82.28000000,81.38000000,82.20000000,50559.92000000,1630717499999,4142905.90490000,4833,24543.75000000,2010318.93060000,0
1630717500000,82.18000000,82.50000000,81.96000000,82.34000000,41696.00000000,1630717799999,3432751.35271800,6455,21402.00000000,1761873.82801800,0
1630717800000,82.32000000,82.75000000,82.19000000,82.36000000,31243.80810000,1630718099999,2576849.70121900,6684,13123.15040000,1082900.89465200,0
1630718100000,82.36000000,82.74000000,82.24000000,82.27000000,23030.01000000,1630718399999,1898437.36250000,2622,10466.56000000,862762.55020000,0
1630718400000,82.26000000,82.27000000,81.70000000,82.15000000,26105.81000000,1630718699999,2140916.93650000,2783,13694.16000000,1123317.87230000,0
1630718700000,82.14000000,82.18000000,81.89000000,82.09000000,14848.43000000,1630718999999,1218084.98710000,1436,9821.33000000,805782.70380000,0
1630719000000,82.08000000,82.08000000,81.50000000,81.92000000,48016.64000000,1630719299999,3927584.12590000,4171,15368.49000000,1257811.75520000,0
1630719300000,81.92000000,82.57000000,81.91000000,82.47000000,23659.29000000,1630719599999,1945836.90910000,1842,17167.72000000,1412389.97860000,0
1630719600000,82.48000000,82.94000000,82.48000000,82.86000000,36832.26210000,1630719899999,3046068.85298200,3631,24729.53210000,2045300.53218200,0
