1627603200000,2.25660000,2.27750000,2.22470000,2.25300000,196513.64000000,1627606799999,444722.18973100,1148,79951.39000000,180929.04247600,0
1627606800000,2.25570000,2.29860000,2.24940000,2.29290000,185129.83000000,1627610399999,421144.39109300,1237,104105.26000000,236719.11794000,0
1627610400000,2.29500000,2.32500000,2.29210000,2.29650000,256851.02000000,1627613999999,593033.32160200,1832,147120.60000000,339612.61586400,0
1627614000000,2.29710000,2.36560000,2.29270000,2.31780000,309449.29000000,1627617599999,720600.67332500,2351,139673.75000000,325587.58713000,0
1627617600000,2.31600000,2.32850000,2.27530000,2.28790000,234559.11000000,1627621199999,538069.87801700,1457,99775.40000000,228888.14998300,0
1627621200000,2.28820000,2.29400000,2.26130000,2.26840000,168063.63000000,1627624799999,381762.47572600,919,92868.11000000,210939.86138500,0
1627624800000,2.27010000,2.31320000,2.25700000,2.29890000,167633.56000000,1627628399999,383127.41970100,1076,88337.75000000,202000.02637500,0
1627628400000,2.29890000,2.30610000,2.27610000,2.29040000,144073.88000000,1627631999999,329624.28135600,899,66736.74000000,152628.46782400,0
1627632000000,2.28890000,2.31710000,2.17730000,2.19740000,591177.77000000,1627635599999,1321933.27919500,3329,250650.65000000,560553.97565100,0
1627635600000,2.19750000,2.19810000,2.14580000,2.17220000,511080.74000000,1627639199999,1108393.22609400,2840,278460.03000000,603750.37809100,0
1627639200000,2.17230000,2.17550000,2.15010000,2.17240000,237006.23000000,1627642799999,512685.21435500,1350,108203.17000000,234011.12575500,0
1627642800000,2.17280000,2.17440000,2.14630000,2.15280000,181366.52000000,1627646399999,391893.08171500,1111,87427.49000000,188858.76754500,0
1627646400000,2.15300000,2.17100000,2.14680000,2.15100000,129979.12000000,1627649999999,280869.17249100,819,62428.35000000,134870.22342900,0
1627650000000,2.15030000,2.17170000,2.15000000,2.15490000,125656.14000000,1627653599999,271418.06689600,707,69008.66000000,149128.33481000,0
1627653600000,2.15510000,2.20000000,2.15330000,2.19750000,183673.77000000,1627657199999,400706.81235400,1029,104706.61000000,228393.65135600,0
1627657200000,2.19880000,2.21000000,2.18000000,2.20890000,141519.83000000,1627660799999,310182.72388200,806,80105.10000000,175629.67556200,0
1627660800000,2.20990000,2.23000000,2.19980000,2.20000000,141155.89000000,1627664399999,312713.03060100,836,56271.13000000,124578.76547700,0
1627664400000,2.19970000,2.22380000,2.19970000,2.21770000,71681.40000000,1627667999999,158594.52181900,436,39276.48000000,86836.21598600,0
1627668000000,2.21920000,2.23660000,2.21200000,2.22490000,68651.76000000,1627671599999,152799.46215300,404,32018.40000000,71241.27152400,0
1627671600000,2.22480000,2.23920000,2.21730000,2.23140000,87042.18000000,1627675199999,193863.91443200,557,30605.12000000,68134.15773400,0
1627675200000,2.23140000,2.27660000,2.22660000,2.26860000,154848.00000000,1627678799999,349106.79565900,1236,80057.20000000,180457.98804900,0
1627678800000,2.27080000,2.31320000,2.26800000,2.31320000,176612.92000000,1627682399999,405370.35117100,1245,92342.45000000,211939.74073900,0
1627682400000,2.31320000,2.32000000,2.28560000,2.30620000,258865.34000000,1627685999999,596021.94877400,1365,123928.67000000,285365.04808600,0
1627686000000,2.30780000,2.33440000,2.30090000,2.32250000,169464.43000000,1627689599999,392374.30918300,1048,82141.43000000,190087.03703900,0
